Image Name,Extracted Number
0_63.jp_76a1e0.jpg,0
0_49.jp_fe7a0b.jpg,0
0_32.jp_89997c.jpg,0
0_3.jpg_0143cb.jpg,0
0_79.jp_5df4a8.jpg,0
0_14.jp_feb9b0.jpg,0
0_63.jp_b93294.jpg,0
0_94.jp_a2c99d.jpg,0
0_51.jp_5ba2df.jpg,0
0_106.j_3ada6f.jpg,0
0_23.jp_963029.jpg,0
0_58.jp_96cbf8.jpg,0
0_70.jp_592d46.jpg,0
0_61.jp_11977b.jpg,0
0_93.jp_c16651.jpg,0
0_87.jp_833f17.jpg,0
0_23.jp_faa4a4.jpg,0
0_26.jp_423bef.jpg,0
0_37.jp_9707f6.jpg,0
0_59.jp_1cc561.jpg,0
0_56.jp_ea92ae.jpg,0
0_44.jp_62fc5e.jpg,0
0_61.jp_c5fcb3.jpg,0
0_34.jp_fe7737.jpg,0
0_95.jp_54f8b3.jpg,0
0_61.jp_1c08dc.jpg,0
0_32.jp_9f7c03.jpg,0
0_74.jp_aacb5e.jpg,0
0_94.jpg,0
0_70.jp_9be1ab.jpg,0
0_51.jp_ae6f6e.jpg,0
0_14.jp_92bab1.jpg,0
0_37.jp_56d456.jpg,0
0_93.jp_bd5bce.jpg,0
0_32.jp_8fea7e.jpg,0
0_23.jp_630b7a.jpg,0
0_37.jp_ab3373.jpg,0
0_23.jp_af2fc5.jpg,0
0_32.jp_224e53.jpg,0
0_9.jpg_d6072f.jpg,0
0_42.jp_f69f86.jpg,0
0_42.jp_69bf5d.jpg,0
0_60.jp_0e2316.jpg,0
0_9.jpg_432ac9.jpg,0
0_60.jp_0e2316.jpg,0
0_88.jp_1fc143.jpg,0
0_33.jp_9fca73.jpg,0
0_13.jp_8336dc.jpg,0
0_74.jp_6a18d4.jpg,0
0_57.jp_361dae.jpg,0
0_23.jp_0cdda7.jpg,0
0_35.jp_4c54ce.jpg,0
0_59.jp_0b6b93.jpg,0
0_93.jp_6f9a39.jpg,0
0_94.jp_98bb7b.jpg,0
0_49.jpg,0
